Review_ID,Car_Name,Review_English,Sentiment_Score,Sentiment_Label
25,Honda City,"Ride quality is fine; If the price was slightly low, it would have been more attractive.",0.4915,Positive
26,Maruti Baleno,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
27,Honda City,It feels stable and reliable in running; There is no shortage of power on the highway.,0.4479,Positive
28,Nissan Magnite,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
29,Honda City,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
30,MG Hector,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
31,Ford EcoSport,The build quality disappoints; There is a lot of road noise in the cabin.,-0.3818,Negative
32,Volkswagen Taigun,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
33,Skoda Kushaq,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
34,Honda City,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
35,Renault Kwid,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
36,Renault Kwid,"The cabin is special, but the response of infotainment seems slightly slow.",0.2144,Positive
37,Kia Seltos,It feels stable and reliable in running; There is no shortage of power on the highway.,0.4479,Positive
38,Ford EcoSport,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
39,Ford EcoSport,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
40,Kia Seltos,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
41,Volkswagen Taigun,The build quality disappoints; There is a lot of road noise in the cabin.,-0.3818,Negative
42,Toyota Fortuner,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
43,Volkswagen Taigun,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
44,Ford EcoSport,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
45,Maruti Suzuki Swift,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
46,Maruti Suzuki Swift,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
47,Kia Seltos,The build quality disappoints; There is a lot of road noise in the cabin.,-0.3818,Negative
48,Maruti Baleno,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
49,Mahindra XUV700,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
50,Jeep Compass,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
51,Honda City,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
52,Jeep Compass,"The cabin is special, but the response of infotainment seems slightly slow.",0.2144,Positive
53,Toyota Fortuner,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
54,Renault Kwid,"Ride quality is fine; If the price was slightly low, it would have been more attractive.",0.4915,Positive
55,Jeep Compass,"The cabin is special, but the response of infotainment seems slightly slow.",0.2144,Positive
56,Mahindra XUV700,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
57,Nissan Magnite,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
58,Maruti Baleno,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
59,Tata Harrier,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
60,Nissan Magnite,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
61,MG Hector,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
62,Kia Seltos,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
63,Mahindra XUV700,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
64,Volkswagen Taigun,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
65,Renault Kwid,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
66,Honda City,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
67,Mahindra XUV700,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
68,Tata Harrier,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
69,Volkswagen Taigun,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
70,Mahindra XUV700,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
71,Hyundai Creta,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
72,Mahindra XUV700,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
73,Jeep Compass,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
74,Nissan Magnite,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
75,Jeep Compass,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
76,MG Hector,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
77,Skoda Kushaq,"Ride quality is fine; If the price was slightly low, it would have been more attractive.",0.4915,Positive
78,Skoda Kushaq,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
79,Ford EcoSport,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
80,Volkswagen Taigun,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
81,Nissan Magnite,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
82,Volkswagen Taigun,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
83,Kia Seltos,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
84,Mahindra XUV700,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
85,Hyundai Creta,"Ride quality is fine; If the price was slightly low, it would have been more attractive.",0.4915,Positive
86,Mahindra XUV700,It feels stable and reliable in running; There is no shortage of power on the highway.,0.4479,Positive
87,Toyota Fortuner,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
88,Hyundai Creta,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
89,Kia Seltos,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
90,Skoda Kushaq,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
91,Ford EcoSport,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
92,Maruti Baleno,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
93,Kia Seltos,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
94,Toyota Fortuner,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
95,Hyundai Creta,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
96,Jeep Compass,"Ride quality is fine; If the price was slightly low, it would have been more attractive.",0.4915,Positive
97,Hyundai Creta,"The cabin is special, but the response of infotainment seems slightly slow.",0.2144,Positive
98,Jeep Compass,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
99,Kia Seltos,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
100,Nissan Magnite,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
101,Toyota Fortuner,The build quality disappoints; There is a lot of road noise in the cabin.,-0.3818,Negative
102,Maruti Suzuki Swift,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
103,Tata Harrier,"Ride quality is fine; If the price was slightly low, it would have been more attractive.",0.4915,Positive
104,Maruti Baleno,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
105,Hyundai Creta,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
106,Hyundai Creta,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
107,Kia Seltos,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
108,Nissan Magnite,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
109,Volkswagen Taigun,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
110,Honda City,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
111,Hyundai Creta,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
112,Renault Kwid,The build quality disappoints; There is a lot of road noise in the cabin.,-0.3818,Negative
113,MG Hector,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
114,Hyundai Creta,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
115,Renault Kwid,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
116,Volkswagen Taigun,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
117,Nissan Magnite,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
118,Toyota Fortuner,"Ride quality is fine; If the price was slightly low, it would have been more attractive.",0.4915,Positive
119,Toyota Fortuner,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
120,MG Hector,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
121,Skoda Kushaq,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
122,Honda City,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
123,Skoda Kushaq,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
124,Honda City,It feels stable and reliable in running; There is no shortage of power on the highway.,0.4479,Positive
125,MG Hector,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
126,Hyundai Creta,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
127,Toyota Fortuner,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
128,Maruti Baleno,"The cabin is special, but the response of infotainment seems slightly slow.",0.2144,Positive
129,Skoda Kushaq,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
130,Toyota Fortuner,"The cabin is special, but the response of infotainment seems slightly slow.",0.2144,Positive
131,Skoda Kushaq,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
132,Kia Seltos,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
133,Maruti Suzuki Swift,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
134,Nissan Magnite,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
135,Skoda Kushaq,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
136,Renault Kwid,The build quality disappoints; There is a lot of road noise in the cabin.,-0.3818,Negative
137,Volkswagen Taigun,"The cabin is special, but the response of infotainment seems slightly slow.",0.2144,Positive
138,MG Hector,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
139,Honda City,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
140,Skoda Kushaq,"Ride quality is fine; If the price was slightly low, it would have been more attractive.",0.4915,Positive
141,Honda City,The build quality disappoints; There is a lot of road noise in the cabin.,-0.3818,Negative
142,Honda City,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
143,Honda City,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
144,Hyundai Creta,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
145,Maruti Suzuki Swift,"The cabin is special, but the response of infotainment seems slightly slow.",0.2144,Positive
146,Skoda Kushaq,"Ride quality is fine; If the price was slightly low, it would have been more attractive.",0.4915,Positive
147,Toyota Fortuner,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
148,Jeep Compass,"The cabin is special, but the response of infotainment seems slightly slow.",0.2144,Positive
149,Toyota Fortuner,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
150,Tata Harrier,It feels stable and reliable in running; There is no shortage of power on the highway.,0.4479,Positive
151,Toyota Fortuner,"Ride quality is fine; If the price was slightly low, it would have been more attractive.",0.4915,Positive
152,Ford EcoSport,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
153,Volkswagen Taigun,It feels stable and reliable in running; There is no shortage of power on the highway.,0.4479,Positive
154,Ford EcoSport,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
155,Mahindra XUV700,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
156,Kia Seltos,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
157,Tata Harrier,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
158,Honda City,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
159,Toyota Fortuner,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
160,Maruti Suzuki Swift,"Ride quality is fine; If the price was slightly low, it would have been more attractive.",0.4915,Positive
161,Ford EcoSport,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
162,Jeep Compass,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
163,Tata Harrier,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
164,Hyundai Creta,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
165,Mahindra XUV700,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
166,Skoda Kushaq,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
167,Mahindra XUV700,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
168,Tata Harrier,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
169,Toyota Fortuner,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
170,Volkswagen Taigun,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
171,Skoda Kushaq,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
172,Skoda Kushaq,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
173,Renault Kwid,"The cabin is special, but the response of infotainment seems slightly slow.",0.2144,Positive
174,Toyota Fortuner,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
175,Tata Harrier,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
176,Kia Seltos,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
177,Volkswagen Taigun,"The cabin is special, but the response of infotainment seems slightly slow.",0.2144,Positive
178,Maruti Baleno,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
179,Ford EcoSport,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
180,Honda City,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
181,Nissan Magnite,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
182,Tata Harrier,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
183,Toyota Fortuner,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
184,Volkswagen Taigun,It feels stable and reliable in running; There is no shortage of power on the highway.,0.4479,Positive
185,Hyundai Creta,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
186,Skoda Kushaq,The build quality disappoints; There is a lot of road noise in the cabin.,-0.3818,Negative
187,Tata Harrier,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
188,Toyota Fortuner,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
189,Jeep Compass,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
190,Mahindra XUV700,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
191,Honda City,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
192,Honda City,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
193,Hyundai Creta,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
194,Renault Kwid,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
195,Honda City,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
196,Hyundai Creta,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
197,Toyota Fortuner,"The cabin is special, but the response of infotainment seems slightly slow.",0.2144,Positive
198,Skoda Kushaq,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
199,Jeep Compass,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
200,Skoda Kushaq,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
201,Toyota Fortuner,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
202,Kia Seltos,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
203,Renault Kwid,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
204,Honda City,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
205,Renault Kwid,The build quality disappoints; There is a lot of road noise in the cabin.,-0.3818,Negative
206,Maruti Suzuki Swift,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
207,MG Hector,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
208,Kia Seltos,"The cabin is special, but the response of infotainment seems slightly slow.",0.2144,Positive
209,Maruti Suzuki Swift,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
210,Ford EcoSport,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
211,Jeep Compass,It feels stable and reliable in running; There is no shortage of power on the highway.,0.4479,Positive
212,Maruti Suzuki Swift,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
213,Mahindra XUV700,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
214,Maruti Suzuki Swift,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
215,Skoda Kushaq,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
216,Ford EcoSport,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
217,Volkswagen Taigun,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
218,MG Hector,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
219,Mahindra XUV700,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
220,Maruti Baleno,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
221,Hyundai Creta,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
222,MG Hector,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
223,Jeep Compass,It feels stable and reliable in running; There is no shortage of power on the highway.,0.4479,Positive
224,MG Hector,"Ride quality is fine; If the price was slightly low, it would have been more attractive.",0.4915,Positive
225,Maruti Suzuki Swift,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
226,Maruti Baleno,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
227,Maruti Suzuki Swift,It feels stable and reliable in running; There is no shortage of power on the highway.,0.4479,Positive
228,Skoda Kushaq,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
229,Ford EcoSport,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
230,Nissan Magnite,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
231,Jeep Compass,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
232,Kia Seltos,The build quality disappoints; There is a lot of road noise in the cabin.,-0.3818,Negative
233,Toyota Fortuner,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
234,Jeep Compass,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
235,Volkswagen Taigun,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
236,Honda City,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
237,Maruti Baleno,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
238,Honda City,"The cabin is special, but the response of infotainment seems slightly slow.",0.2144,Positive
239,Kia Seltos,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
240,Volkswagen Taigun,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
241,MG Hector,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
242,Maruti Suzuki Swift,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
243,Tata Harrier,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
244,Honda City,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
245,Toyota Fortuner,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
246,Honda City,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
247,Maruti Suzuki Swift,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
248,Kia Seltos,"Ride quality is fine; If the price was slightly low, it would have been more attractive.",0.4915,Positive
249,Maruti Baleno,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
250,Mahindra XUV700,"Ride quality is fine; If the price was slightly low, it would have been more attractive.",0.4915,Positive
251,Ford EcoSport,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
252,Mahindra XUV700,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
253,MG Hector,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
254,Toyota Fortuner,The build quality disappoints; There is a lot of road noise in the cabin.,-0.3818,Negative
255,Maruti Baleno,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
256,Maruti Baleno,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
257,Honda City,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
258,Tata Harrier,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
259,Volkswagen Taigun,"Ride quality is fine; If the price was slightly low, it would have been more attractive.",0.4915,Positive
260,Mahindra XUV700,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
261,Skoda Kushaq,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
262,MG Hector,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
263,Nissan Magnite,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
264,Toyota Fortuner,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
265,Maruti Baleno,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
266,Nissan Magnite,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
267,Honda City,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
268,Volkswagen Taigun,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
269,Renault Kwid,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
270,Mahindra XUV700,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
271,Maruti Baleno,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
272,Kia Seltos,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
273,Mahindra XUV700,It feels stable and reliable in running; There is no shortage of power on the highway.,0.4479,Positive
274,Nissan Magnite,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
275,Nissan Magnite,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
276,Maruti Suzuki Swift,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
277,Nissan Magnite,It feels stable and reliable in running; There is no shortage of power on the highway.,0.4479,Positive
278,Nissan Magnite,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
279,Ford EcoSport,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
280,Mahindra XUV700,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
281,Volkswagen Taigun,"The cabin is special, but the response of infotainment seems slightly slow.",0.2144,Positive
282,Hyundai Creta,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
283,Maruti Baleno,The design is good but the features segment is average; The total experience was fine.,0.5492,Positive
284,Volkswagen Taigun,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
285,MG Hector,The service network and the after-sale experience did not lose as expected.,0.3089,Positive
286,Renault Kwid,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
287,Hyundai Creta,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
288,Toyota Fortuner,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
289,Maruti Suzuki Swift,Suspension feels hard and shocks on bad paths seem more satisfied.,-0.5279,Negative
290,Jeep Compass,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
291,Tata Harrier,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
292,Hyundai Creta,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
293,Hyundai Creta,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
294,Ford EcoSport,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
295,Volkswagen Taigun,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
296,Mahindra XUV700,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
297,Maruti Suzuki Swift,"The interior is premium, seats are comfortable and tiredness is less in long journey.",0.5106,Positive
298,Renault Kwid,It feels stable and reliable in running; There is no shortage of power on the highway.,0.4479,Positive
299,Honda City,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
300,Maruti Baleno,"The cabin is special, but the response of infotainment seems slightly slow.",0.2144,Positive
301,Honda City,"The cabin is special, but the response of infotainment seems slightly slow.",0.2144,Positive
302,Volkswagen Taigun,"According to performance and safety, this budget gives a great value in this budget.",0.8519,Positive
303,Renault Kwid,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
304,Nissan Magnite,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
305,Tata Harrier,The steering feedback and braking confidence-ignation-the driving becomes fun.,0.5106,Positive
306,Jeep Compass,Mileage was much less than expected and maintenance cost is also high.,0,Neutral
307,Kia Seltos,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
308,Ford EcoSport,The build quality disappoints; There is a lot of road noise in the cabin.,-0.3818,Negative
309,Hyundai Creta,The price of the features is more according to the features; No Value for Money.,-0.2584,Negative
310,Kia Seltos,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
311,Jeep Compass,The build quality disappoints; There is a lot of road noise in the cabin.,-0.3818,Negative
312,Nissan Magnite,Some points are good and some have scope to improve - Over -neutral experience.,0.7003,Positive
313,Maruti Suzuki Swift,"It is fine for daily use; Neither great, nor very disappointing.",0.0902,Positive
314,MG Hector,The mileage of me turned out to be better than expected to me; Great in both city and highway.,0.7906,Positive
